Nser,Npar,Irradiance,Temperature,Vmpp,Impp,Label
4,3,910,60,144.9227219,16.11035679,1
4,3,910,70,137.53,16.14012053,1
4,3,10,5,157.965,0.115442255,2
4,3,10,15,149.31,0.115814982,2
4,3,10,25,140.7,0.116114129,2
4,3,10,35,132.12,0.116344799,2
4,3,10,45,123.6,0.116472338,2
4,3,10,55,115.125,0.116498819,2
4,3,10,65,106.6990403,0.116408306,2
4,3,10,75,98.35904035,0.11614342,2
4,3,10,85,90.09,0.115697031,2
4,3,110,5,175.305,1.274346175,2
4,3,110,15,167.235,1.279442279,2
4,3,110,25,159.195,1.283985908,2
4,3,110,35,151.17,1.288057044,2
4,3,110,45,143.1957829,1.29130284,2
4,3,110,55,135.2481408,1.293865248,2
4,3,110,65,127.335,1.295606127,2
4,3,110,75,119.4680673,1.296321,2
4,3,110,85,111.6642026,1.295703887,2
4,3,210,5,179.535,2.434011116,2
4,3,210,15,171.615,2.444237641,2
4,3,210,25,163.725,2.453470052,2
4,3,210,35,155.8702288,2.461542624,2
4,3,210,45,148.035,2.468611564,2
4,3,210,55,140.235,2.474329025,2
4,3,210,65,132.48,2.478387754,2
4,3,210,75,124.7608218,2.480799031,2
4,3,210,85,117.0801127,2.481351527,2
4,3,310,5,181.8182634,3.593805613,2
4,3,310,15,174,3.609056224,2
4,3,310,25,166.2202774,3.622678172,2
4,3,310,35,158.445,3.635305249,2
4,3,310,45,150.705,3.646153608,2
4,3,310,55,143.0010336,3.65504473,2
4,3,310,65,135.33,3.661883499,2
4,3,310,75,127.71,3.665968603,2
4,3,310,85,120.12,3.6676464,2
4,3,410,5,183.285,4.75314669,2
4,3,410,15,175.53,4.773672307,2
4,3,410,25,167.8107928,4.792171555,2
4,3,410,35,160.1162482,4.808802027,2
4,3,410,45,152.445,4.823465061,2
4,3,410,55,144.81,4.83558236,2
4,3,410,65,137.205,4.845144544,2
4,3,410,75,129.6495196,4.851207727,2
4,3,410,85,122.119992,4.854343341,2
4,3,510,5,184.275,5.912554649,2
4,3,510,15,176.595,5.93754691,2
4,3,510,25,168.93,5.960711847,2
4,3,510,35,161.28,5.981939037,2
4,3,510,45,153.66,6.000527213,2
4,3,510,55,146.085,6.015644723,2
4,3,510,65,138.54,6.027605731,2
4,3,510,75,131.030256,6.035906684,2
4,3,510,85,123.5630165,6.039867509,2
4,3,610,5,184.995,7.070709514,2
4,3,610,15,177.36,7.100657188,2
4,3,610,25,169.725,7.129067238,2
4,3,610,35,162.1282345,7.15421774,2
4,3,610,45,154.56,7.176271954,2
4,3,610,55,147.015,7.195244109,2
4,3,610,65,139.515,7.209787538,2
4,3,610,75,132.045,7.22029343,2
4,3,610,85,124.62,7.225564209,2
4,3,710,5,185.49,8.229107336,2
4,3,710,15,177.885,8.264396229,2
4,3,710,25,170.2951365,8.297209969,2
